date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2020-02-19,10000.0,0,0,0,0.0,0.0,0.0,0.0,
2020-02-20,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-21,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-22,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-23,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-24,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-25,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-26,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-27,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-28,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-29,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-01,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-02,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-03,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-04,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-05,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-06,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-07,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-08,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-09,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-10,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-11,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-12,9140.825113245848,4,0,4,0.0,-4570.412556622924,-4570.412556622924,4570.412556622924,-0.08591748867541515
2020-03-13,9574.203449956372,4,0,4,0.0,-4787.101724978186,-4787.101724978186,4787.101724978186,0.047411292891111234
2020-03-14,9520.207701001647,4,0,4,0.0,-4760.103850500824,-4760.103850500824,4760.103850500824,-0.0056397118817201886
2020-03-15,10019.10420654181,4,0,4,0.0,-5009.552103270905,-5009.552103270905,5009.552103270905,0.05240395180534474
2020-03-16,9817.514685712298,4,0,4,0.0,-4908.757342856149,-4908.757342856149,4908.757342856149,-0.020120513438505516
2020-03-17,9766.942409345924,4,0,4,0.0,-4883.471204672962,-4883.471204672962,4883.471204672962,-0.005151230019545983
2020-03-18,9177.15815573075,4,0,4,0.0,-4588.579077865375,-4588.579077865375,4588.579077865375,-0.06038576136691587
2020-03-19,9332.024529912222,4,0,4,0.0,-4666.012264956111,-4666.012264956111,4666.012264956111,0.016875199441208633
2020-03-20,9318.960026786943,4,0,4,0.0,-4659.480013393471,-4659.480013393471,4659.480013393471,-0.0013999645075302158
2020-03-21,9744.137794166458,4,0,4,0.0,-4872.068897083229,-4872.068897083229,4872.068897083229,0.04562502319543804
2020-03-22,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-23,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-24,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-25,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-26,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-27,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-28,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-29,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-30,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-01,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-02,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-03,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-04,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-05,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-06,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-07,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-08,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-09,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-10,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-04-11,9744.137794166458,0,0,0,0.0,0.0,0.0,0.0,0.0
